Energe/kal,Protain/g,Suger/g,Fat/g,Water/g,Fiber/g,Ash/g,VA/mcg,Carotene/mcg,Retinol/mcg,VB1/mg,VB2/mg,VB3/mg,VC/mg,VE/mg,K/mg,Na/mg,Ca/mg,Mg/mg,Fe/mg,Mn/mg,Zn/mg,Cu/mg,P/mg,Se/mcg,tag
381,36.1,23.3,15.9,9.9,10.2,4.6,0,30,5,0.2,0.33,2,0,17.36,1377,3,224,243,7,2.83,4.18,1.56,500,6.79,1
359,35.1,18.6,16,10.2,15.5,4.6,0,220,37,0.41,0.2,2.1,0,18.9,1503,2.2,191,199,8.2,2.26,3.34,1.35,465,6.16,1
355,13.2,72.6,1.3,9.9,0,3,0,0,0,0,0,0,0,0.73,17,17.5,54,0,0.2,2.03,0.69,0.45,23,14.5,1
348,8,77.7,0.6,13.2,0,0.5,0,0,0,0.22,0.05,2.6,0,0.53,78,0.9,3,20,0.4,0.77,0.89,0.28,99,6.4,1
333,9.4,68.3,2.5,14.3,3.9,1.6,0,0,0,0.33,0.13,7.9,0,0.22,256,7.1,12,147,1.6,1.72,3.8,0.09,356,3.2,1
328,25.7,3.5,23.5,43.5,0,3.8,152,0,152,0.06,0.91,0.6,0,0.6,75,584.6,799,57,2.4,0.13,6.97,0.13,326,1.5,1
326,25.3,55.4,0.4,9.9,6.5,2.5,0,30,5,0.26,0.45,2.6,0,1.86,439,2.3,137,92,19.2,1.19,1.9,1.27,218,32,1
321,0.4,75.6,1.9,22,0,0.1,0,0,0,0,0.05,0.1,3,0,28,0.3,4,2,1,0.07,0.37,0.03,3,0.15,1
320,18.6,59,1.1,12,6.6,2.7,0,0,0,0.15,0.18,2.1,0,12.29,525,86.5,60,171,5.5,2.14,4.7,0.86,310,2.89,1
309,20.2,55.7,0.6,12.6,7.7,3.2,0,80,13,0.16,0.11,2,0,14.36,860,2.2,74,138,7.4,1.33,2.2,0.64,305,3.8,1
298,10.2,61.6,1.2,12.1,13.4,1.5,0,0,0,0.32,0.21,3.6,0,1.25,0,0,0,0,0,0,0,0,0,0,1
298,12.1,5.2,25.4,48.3,7.7,1.3,0,10,2,0,0.04,14.1,14,2.93,390,3.7,8,110,3.4,0.65,1.79,0.68,250,4.5,1
288,11.4,51.9,3.9,18.8,7.9,6.1,0,0,0,0.12,0.22,3.5,0,0,100,98.5,59,59.8,11.4,0.77,0.31,0.06,28,0.05,1
268,40.1,26.5,0.2,0.2,0,33,0,0,5,0.08,0,0.3,0,0,4,21053,100,7,1.2,0.67,0.31,0.12,4,0.98,1
264,55.6,5.1,2.4,27.4,0,9.5,11,0,11,0,0.21,2.5,1.53,1.53,969,306.4,77,106,5.6,0.43,5.05,0.1,504,76.35,1
245,17.9,0,19.9,62.9,0,0.8,42,0,42,0.07,0.23,4.9,0,0.22,232,58.8,4,18,3.8,0.04,1.36,0.43,144,17.68,1
244,24.1,36.8,0,22.7,5.9,10.5,0,0,0,0.02,0.09,0.6,0,40.69,715,263.8,29,202,3.7,3.17,2.37,1.04,43,4.55,1
219,6.8,42.7,2.3,11.7,33.9,2.6,0,0,0,0.07,0.54,2.3,4,7.12,19.3,19.3,33,137,0.5,0.35,7.65,1.17,16,1.57,1
205,12.1,35.7,1.5,15.5,29.9,5.3,0,100,17,0.01,0.44,2.5,0,11.34,757,48.5,247,152,97.4,8.86,3.18,0.32,292,3.72,1
203,4.9,36.3,4.2,9.9,38.7,6,0,0,0,0.07,0.43,1,1,2.32,28,154.7,832,337,21.2,1.51,5.88,1.14,38,4.72,1
201,16.5,1.7,14.2,66.6,0,1,53,0,53,0.06,0.2,6.9,0,0.99,334,63.6,30,9,3.8,0.05,0.82,0.24,136,11.08,1
200,25.1,42.4,0.8,30.5,18.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,10,36.9,1.4,14.6,30.4,6.7,0,50,8,0.05,0.25,5.3,0,1.26,1588,82.1,36,54,4.1,0.17,3.03,0.08,369,2.59,1
189,10.5,25.5,5,12.7,37.6,8.7,0,600,100,0.05,0.54,3.5,1,0,47,45.9,436,234,7.4,38.6,2.12,2.22,183,1.1,1
181,18.6,2.3,10.8,67.1,0,1.2,0,0,0,0.02,0.02,3.8,0,3.6,207,58.8,42,34,1.5,0,1.15,0.18,248,33.66,1
177,26.2,7.5,4.7,48.4,0,13.2,0,0,0,0.03,1.09,1.7,0,7.59,150,115.7,120,36,30.8,1.94,26.71,14,241,6.5,1
171,21.4,2.2,8.5,66.8,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,3.2,37.1,0.1,56.7,1.7,1.2,0,0,0,0.02,0.04,0.7,18,0,510,6.7,11,0,1,0.35,0.5,0.24,61,0.2,1
160,12.8,2.1,11.1,73,0,1,337,0,337,0.11,0.49,0.1,0,3.08,138,106.6,47,11,3.2,0.04,0.61,0.09,180,25.48,1
