name:,Fullness Factor:,ND Rating:,Weight loss:,Optimum health:,Weight gain:,GLYCEMIC_LOAD:,Completeness Score:,Calories:,Calories From Carbohydrate:,Calories From Fat:,Calories From Protein:,Dietary Fiber:,Sugars:,Total Fat:,Saturated Fat:,Monounsaturated Fat:,Polyunsaturated Fat:,Protein:,Vitamin A:,Vitamin C:,Thiamin:,Riboflavin:,Niacin:,Calcium:,Iron:,Magnesium:,Phosphorus:,Potassium:,Sodium:,Zinc:,Cholesterol:,Alcohol:,Water:,Ash:,
Cherries. sour. red. canned. water pack. solids and liquids (includes USDA commodity red tart cherries. canned),3.5,2.3,35.29,28.005,19.202,3.4266,29,46.994,44.812,0.83709,1.3438,0.1,10.029,0.1,0.016001,0.006999,0.026999,0.39997,27.001,32.095,0.042997,0.026999,0.26301,5.0006,0.35004,5.9998,8.0012,134.01,3.9998,0.03,0,0,87.61,0.39997,0
Cherries. sour. red. frozen. unsweetened,1.6,3.7,28.185,44.028,47.025,60.629,39,396,347.58,21.598,26.802,3.0001,3.2199,2.3996,0.50302,0.61509,0.9201,6.7009,8.0012,0,1.3,1.4999,20.002,850.06,37.003,14.999,422.96,409.98,15.999,1.4002,0,0,3.2003,0.81008,0
Cherries. sour. red. raw,1.6,0.7,6.3905,8.6194,17.149,17.098,5,240.22,132.98,100.56,6.7031,1.6758,17.321,11.172,3.3519,1.9105,0.79363,1.6758,111.73,0,0.081348,0.066745,2.6595,0,0,11.355,39.418,159.4,217.87,0.29023,5.5868,0,62.869,0.54216,0
Cherries. sweet. canned. extra heavy syrup pack. solids and liquids,1.5,0.7,5.456,8.385,17.336,26.184,4,300.89,182.3,111.51,7.0794,0.88499,20.352,12.389,2.6553,2.0171,0.74343,1.77,88.487,0,0.73174,0.79291,11.34,0,1.2744,12.994,289.32,259.1,415.95,0.84784,0.88499,0,20.706,1.4314,0
Cherries. sweet. canned. juice pack. solids and liquids,1.6,3.5,27.392,41.965,45.658,58.316,43,373.03,335.84,9.2072,27.945,2.5004,19.304,1.0999,2.0146,0.068121,0.25469,6.8997,3531,0,1.0999,0.70001,14.102,112.99,22.898,25.997,57.002,155,679.97,0.65008,0,0,8.0012,2.3996,0
Cherries. sweet. canned. light syrup pack. solids and liquids,2.5,3.3,35.986,40.075,35.986,9.3579,40,88.005,79.026,2.5109,6.4807,0.29998,14.303,0.29998,0.043998,0.3765,0.50907,1.6,834.1,0,0.29998,0.19999,3.2995,27.001,5.3997,5.9998,13.001,37.003,160.99,0.15001,0,0,78.293,0.60003,0
Cherries. sweet. canned. pitted. heavy syrup. drained,2.1,3.8,34.41,45.788,43.069,44.595,52,373.99,287.11,44.098,42.8,11.4,27.999,4.9004,1,1.7003,2.2002,10.701,1273,69.99,0.47561,0.35818,5.0535,233,4.2,59.807,161.23,720.91,251.03,3.5005,0,0,5.3,1.0999,0
Cherries. sweet. canned. pitted. heavy syrup pack. solids and liquids,1.9,3.6,31.399,43.735,43.993,47.654,63,364.97,293.45,39.51,32.002,7.899,35.536,4.3904,0.73391,1.5101,1.2601,8.0012,3150.5,1.2,0.94014,1.0699,12.598,314.03,11.309,81.005,278.03,317.99,480.02,1.8598,0,0,6.3001,3.3605,0
Cherries. sweet. canned. water pack. solids and liquids,2.5,3.6,37.545,43.054,37.545,7.6381,62,86.993,70.713,8.9996,7.28,1.7998,8.0995,1,0.16701,0.34401,0.28702,1.8202,717.91,0.19999,0.19301,0.23199,2.7288,73.99,2.5804,19,62.99,72.998,111.01,0.43003,0,0,78.57,0.84006,0
Cherries. sweet. frozen. sweetened,1.8,3.6,30.255,43.625,44.895,47.452,63,362.99,291.48,39.51,31.961,7.3011,34.801,4.3904,0.75401,1.5198,1.2699,7.9909,2750.2,0.79998,0.82004,0.92992,11.001,550.07,9.9006,82,279.02,300.03,564.93,1.8502,0,0,6.2799,4.2298,0
Cherries. sweet. raw,2.4,3.6,36.487,43.036,38.575,8.607,62,96.01,77.942,9.99,8.0787,1.7998,8.7797,1.1102,0.18998,0.38394,0.32098,2.0199,694.1,0.19999,0.18597,0.22297,2.6374,140.98,2.5004,21.003,69.99,75.989,144,0.46999,0,0,76.258,1.1398,0
Cold Stone Creamery dessert: Ice Cream. Black Cherry,2.2,3.2,31.796,37.924,37.586,11.143,58,119.99,96.815,13.051,10.123,2.3,10.819,1.4502,0.24698,0.48505,0.42906,2.5303,638.07,0.19999,0.17199,0.20502,2.4213,65.005,2.3,25.997,90.006,94.997,186.02,0.59008,0,0,70.6,1.1699,0
Cold Stone Creamery dessert: Mix-In. Black Cherries,1.9,3.9,32.72,47.389,45.945,45.059,73,359.97,280.09,37.615,42.28,6.8997,33.995,4.1798,0.69799,1.4102,1.2601,10.571,2387.7,0.79998,0.70999,0.81008,9.5507,845.98,15.071,76.996,283.99,292.04,671.94,1.8301,0,0,5.9902,5.2206,0
Cold Stone Creamery dessert: Mix-In. Cherry Pie Filling,2.4,3.8,37.787,45.96,39.96,9.7054,68,106.99,84.27,10.711,12.001,1.9003,9.6587,1.19,0.198,0.39997,0.35803,3.0001,678.01,0.19999,0.181,0.21897,2.5763,242.01,4.2804,21.997,81.005,83.007,191.97,0.51997,0,0,73.233,1.5499,0
Culver's beverage: Wild Cherry Pepsi®,1.8,3.2,28.111,38.748,41.698,47.742,59,366.97,293.07,41.58,32.281,7.3011,34.567,4.6205,0.78798,1.5499,1.3699,8.0709,2037.3,0.79998,0.60996,0.68995,8.1412,203.99,7.3293,82,288.03,303.03,589.97,1.87,0,0,6.3509,3.5196,0
Culver's dessert: Old Fashioned Cherry Soda,1.9,3.1,28.503,37.459,39.938,48.997,51,331.02,286,16.196,28.802,8.601,21.199,1.7998,0.39997,0.49995,0.89991,7.201,0,0,0.70001,0.79998,9.1013,38.003,29.504,88.005,280,301.96,35.995,2.7,0,0,9.4987,1.4002,0
Culver's dessert: Topping. Black Cherry,1.6,3.9,29.259,47.265,48.961,56.259,70,399.96,328.26,44.999,26.682,3.9998,43.325,5.0006,0,3.3304,1.6699,6.6709,1667.3,20.002,1.25,1.4202,16.671,333.04,14.999,52.993,200.03,200.03,399.96,12.501,0,0,2.3,2.8904,0
Donatos dessert: Cherry Dessert Pizza,1.8,2.8,25.292,33.409,37.741,53.79,54,382.01,320.14,32.762,29.081,7.3011,34.545,3.6404,0.9101,1.8202,0.9101,7.2707,5.0006,10.899,0.68003,0.76994,9.0896,35.995,8.1806,72.998,182,309.03,490.94,6.8204,0,0,2.5904,2.5004,0
Fast foods. burrito. with fruit (apple or cherry),1.7,2.6,22.725,30.677,36.279,54.074,48,397.02,323.97,44.999,27.999,5.9998,37.003,5.0006,0.52199,3.3037,1.13,7.0002,799.99,14.45,0.60003,0.70001,8.0012,41.996,7.0002,71.009,172,316.97,489.99,2.3996,0,0,3.0001,1.9999,0
Frozen novelties. ice type. sugar free. orange. cherry. and grape POPSICLE pops,1.5,3.3,25.393,39.795,44.94,65.039,56,389.94,360.89,12.149,16.881,1.6,41.647,1.3498,0.254,0.35895,0.49595,4.2203,2730.8,59.394,1.7201,2.2002,27.027,11.001,18.649,21.003,77.992,106.99,442.98,7.5395,0,0,2.98,1.4002,0
Fruit. mixed. (peach and cherry-sweet and -sour and raspberry and grape and boysenberry). frozen. sweetened,1.7,4.1,30.823,48.712,48.685,54.534,71,409.98,330.38,51.202,28.398,5.0006,41.194,5.69,0.92992,3.0902,1.4202,7.0999,2870.2,25.402,1.4999,1.9699,20.002,417.02,16.8,65.005,208.03,200.03,540.09,13.899,1,0,1.9003,2.7999,0
Fruit cocktail. (peach and pineapple and pear and grape and cherry). canned. extra heavy syrup. solids and liquids,1.5,4,28.381,48.228,50.492,61.218,68,394.98,349.48,23.944,21.598,2.7999,42.896,2.6604,0.44697,1.2601,0.83494,5.3997,2790.2,59.7,1.3198,1.9699,20.098,428.98,17.1,35.995,122.99,139.99,514.02,14.399,1,0,2.2002,2.3996,0
Fruit cocktail. (peach and pineapple and pear and grape and cherry). canned. extra light syrup. solids and liquids,1.4,3.1,22.984,36.841,43.389,63.033,50,392.96,347.13,31.05,14.722,2.3,46.994,3.4502,0.87003,0.60003,0.62005,3.6804,1833,21.997,1.3699,1.5499,18.328,8.9996,16.49,49.999,150,175.01,449,13.74,0,0,2.5004,1.6202,0
Fruit cocktail. (peach and pineapple and pear and grape and cherry). canned. heavy syrup. solids and liquids,1.5,1.4,11.959,17.094,25.471,55.287,21,439.01,313.63,102.61,22.796,0,39.995,11.4,5.8008,3.2003,2.3996,5.6992,1612,0,0.49995,0.49995,6.4995,30.001,0,0,9.9997,5.9998,49.999,0,9.9997,0,1.9999,2.5004,0
Fruit cocktail. (peach and pineapple and pear and grape and cherry). canned. juice pack. solids and liquids,3.4,4,49.62,48.5,29.61,4.6135,41,51.005,34.203,7.201,9.5999,0.78155,20.062,0.79998,2.9087,1.7915,1.5649,2.3996,209.97,158.01,0.050004,0.070006,0.89991,18.001,0.70001,29.527,35.003,127.2,188.87,7.0997,8.9908,0,86.993,1.2,0
Fruit cocktail. (peach and pineapple and pear and grape and cherry). canned. light syrup. solids and liquids,1.5,1.4,12.169,17.388,25.742,45.49,5,285.73,285.73,0,0,4.2859,66.676,0,0,0,0,0,0,0,0.067316,0.23494,1.3121,0,0,15.2,46.33,75.125,119.07,0.10552,0,0,82.015,1.3526,0
Fruit cocktail. (peach and pineapple and pear and grape and cherry). canned. water pack. solids and liquids,2.9,1.8,26.024,21.546,20.137,4.1353,11,62.99,62.067,0.92069,0,0,14.501,0.11001,0.012998,0.013999,0.052008,0,3.0001,39.497,0,0,0,3.0001,0.070006,1,1.9999,17.001,1.9999,0.020003,0,0,83.784,0.25997,0
Fruit salad. (peach and pear and apricot and pineapple and cherry). canned. extra heavy syrup. solids and liquids,4.5,2.5,41.223,29.814,10.136,0.06251,29,19,18.601,0,0.39997,0.1,4.5998,0,0,0,0,0.1,9.9997,32.002,0.003001,0.006999,0.027996,9.9997,0.059997,3.0001,1,44.999,5.0006,0.020003,0,0,95.211,0.11999,0
Fruit salad. (peach and pear and apricot and pineapple and cherry). canned. heavy syrup. solids and liquids,1.9,1.9,19.747,23.304,28.798,19.335,28,254.03,147.85,76.577,29.599,2.5004,11.092,8.7011,4.9941,2.3927,0.62808,7.4003,380.05,0.49995,0.23199,0.16401,1.6,30.001,1.0999,13.001,57.999,90.006,274.04,1.03,31.001,0,45.596,1.2,0
Fruit salad. (peach and pear and apricot and pineapple and cherry). canned. juice pack. solids and liquids,1.6,0.6,5.5398,7.5375,16.135,13.515,10,245.85,107.61,124.82,13.425,1.1184,17.898,13.868,6.7117,2.623,0.82973,3.3562,313.22,0.53698,0.082065,0.065737,0.88993,82.768,0.32212,5.6964,11.024,81.487,122.17,1.417,53.027,0,63.355,0.51707,0
Fruit salad. (peach and pear and apricot and pineapple and cherry). canned. light syrup. solids and liquids,1.6,0.7,6.222,8.4045,16.948,13.513,9,253.14,109.81,129.23,14.106,0.75571,20.15,14.358,6.298,3.6194,0.55661,3.5264,365.21,0.30231,0.040119,0.061951,0.2454,98.224,0.045333,5.0219,16.138,100.75,106.3,0.62387,54.407,0,71.601,0.28218,0
Fruit salad. (peach and pear and apricot and pineapple and cherry). canned. water pack. solids and liquids,1.8,1,10.597,12.085,19.442,21.373,0,164.28,164.28,0,0,0,35.719,0,0,0,0,0,0,0,0.2748,0.096799,1.0195,0,0,10.65,62.298,445.97,78.57,0.2764,0,0,49.622,1.2154,0
